audio_1|There is a really old blog entry from Twi-lee-oh about testing the T T S in browser|There is a really old blog entry from Twi-lee-oh about testing the T T S in browser
audio_2|Unfortunately it doesn't contain enough information to put a test together|Unfortunately it doesn't contain enough information to put a test together
audio_3|It also contains a number of dead links and mentions a Github project that I can't find.|It also contains a number of dead links and mentions a Github project that I can't find.
audio_4|I'd really like for users to have the ability to hear what their announcement will sound like prior to firing off the form and starting the phone calls.|I'd really like for users to have the ability to hear what their announcement will sound like prior to firing off the form and starting the phone calls.
audio_5|I use Lasso which fires off CU R L requests to the Twi-lee-oh REST A P I, but any kind of tutorials or hints would be appreciated.|I use Lasso which fires off CU R L requests to the Twi-lee-oh REST A P I, but any kind of tutorials or hints would be appreciated.
audio_6|If you set up a demo account on Twi-lee-oh and use Glitch online php tester  or a local environment you can create a workable example like I did|If you set up a demo account on Twi-lee-oh and use Glitch online php tester  or a local environment you can create a workable example like I did
audio_7|Search for TwiML in the website to get to the right section to set the right url of your server that TWilio will call upon request to read content xml|Search for TwiML in the website to get to the right section to set the right url of your server that TWilio will call upon request to read content xml
audio_8|You need to grab the Twi-lee-oh P H P S D K and include the ServicesTwi-lee-ohCapability.php from  in your server code.|You need to grab the Twi-lee-oh P H P S D K and include the ServicesTwi-lee-ohCapability.php from  in your server code.
audio_9|Required, but never shown|Required, but never shown
audio_10|Required, but never shown|Required, but never shown
audio_11|Text To Speech T T S, also known as speech sin-thuh-sis, is a process in which text is converted into a human-sounding voice|Text To Speech T T S, also known as speech sin-thuh-sis, is a process in which text is converted into a human-sounding voice
audio_12|Developers and business users alike use T T S to turn traditional human-to-human interactions into seamless, machine-to-human interactions, and make every interaction over voice a frictionless and first-class experience.|Developers and business users alike use T T S to turn traditional human-to-human interactions into seamless, machine-to-human interactions, and make every interaction over voice a frictionless and first-class experience.
audio_13|Instead of recording audio files with human voices to play back in a call, which has limited flexibility and is not a scalable option, T T S prompts can be dynamically, programmatically generated from raw text as a response to events in your application|Instead of recording audio files with human voices to play back in a call, which has limited flexibility and is not a scalable option, T T S prompts can be dynamically, programmatically generated from raw text as a response to events in your application
audio_14|T T S is available via the Say TwiML verb and Studio's SayPlay Widget.|T T S is available via the Say TwiML verb and Studio's SayPlay Widget.
audio_15|To start using T T S, complete the following steps|To start using T T S, complete the following steps
audio_16|Twi-lee-oh Studio is a visual, serverless tool that uses Widgets to represent various parts of Twi-lee-oh's platform features and functionality to design and build applications with little or no code.|Twi-lee-oh Studio is a visual, serverless tool that uses Widgets to represent various parts of Twi-lee-oh's platform features and functionality to design and build applications with little or no code.
audio_17|The SayPlay Widget allows you to add Text To Speech capabilities to your application with ease, including embedding SSML for supported voices.|The SayPlay Widget allows you to add Text To Speech capabilities to your application with ease, including embedding SSML for supported voices.
audio_18|To start using T T S with Studio, complete the following steps|To start using T T S with Studio, complete the following steps
audio_19|They can be used to get started and familiarize yourself with Text To Speech capabilities using Say, but may not have enough human-like qualities to build conversational applications and deliver superior user experiences over a voice call|They can be used to get started and familiarize yourself with Text To Speech capabilities using Say, but may not have enough human-like qualities to build conversational applications and deliver superior user experiences over a voice call
audio_20|The voices in this tier are available in a limited number of languages at no cost.|The voices in this tier are available in a limited number of languages at no cost.
audio_21|Standard voices offer standard T T S technology and produce natural-sounding synthesized speech with a variety of lifelike voices|Standard voices offer standard T T S technology and produce natural-sounding synthesized speech with a variety of lifelike voices
audio_22|The voices in this tier are provided by Amazon Amazon Polly and Google Standard, with support for SSML Speech Synthesis Markup Language, which allows developers to control many aspects of the synthesized speech.|The voices in this tier are provided by Amazon Amazon Polly and Google Standard, with support for SSML Speech Synthesis Markup Language, which allows developers to control many aspects of the synthesized speech.
audio_23|These voices are generated using the latest technology and innovation in synthesized speech, providing the most human-like, expressive and natural-sounding text to speech voices possible, with higher quality than Standard voices|These voices are generated using the latest technology and innovation in synthesized speech, providing the most human-like, expressive and natural-sounding text to speech voices possible, with higher quality than Standard voices
audio_24|See the Pricing section below for additional information.|See the Pricing section below for additional information.
audio_25|Effective June 26 2023, Alice voices are no longer supported for Text-To-Speech and any request will be redirected to an alternate voice|Effective June 26 2023, Alice voices are no longer supported for Text-To-Speech and any request will be redirected to an alternate voice
audio_26|For more information, visit the Changeloglink takes you to an external page.|For more information, visit the Changeloglink takes you to an external page.
audio_27|You can test the different voices from the T T S Settingslink takes you to an external page page in the Twi-lee-oh Console.|You can test the different voices from the T T S Settingslink takes you to an external page page in the Twi-lee-oh Console.
audio_28|Note Invalid combination of voice and language attributes may result in error and Say instruction failure.|Note Invalid combination of voice and language attributes may result in error and Say instruction failure.
audio_29|At the moment only Amazon Polly has this capability for a limited number of voices|At the moment only Amazon Polly has this capability for a limited number of voices
audio_30|With these T T S settings, Twi-lee-oh uses the Man voice and the en-US American English accent and pronunciation when executing the following TwiML|With these T T S settings, Twi-lee-oh uses the Man voice and the en-US American English accent and pronunciation when executing the following TwiML
audio_31|This means that you can specify the language without needing to specifying the voice when using T T S capabilities in your application.|This means that you can specify the language without needing to specifying the voice when using T T S capabilities in your application.
audio_32|For example, if you configure English Britishen-gigabyte to use Amazon Polly and Emma, Twi-lee-oh uses the Amazon Polly Emma voice when executing Say with the language attribute set to en-gigabyte and no voice attribute see TwiML example below.|For example, if you configure English Britishen-gigabyte to use Amazon Polly and Emma, Twi-lee-oh uses the Amazon Polly Emma voice when executing Say with the language attribute set to en-gigabyte and no voice attribute see TwiML example below.
audio_33|For example, if your Account's default T T S voice is Amazon Polly Salli but you want to use Amazon Polly Joanna for a specific call, set the voice attribute to Polly.Joanna|For example, if your Account's default T T S voice is Amazon Polly Salli but you want to use Amazon Polly Joanna for a specific call, set the voice attribute to Polly.Joanna
audio_34|For example, if your Language Mapping for English Britishen-gigabyte uses Amazon Polly and Emma but you want to use the Amazon Polly Joanna voice for a specific Say instruction, you would use the voice attribute set to Polly.Joanna|For example, if your Language Mapping for English Britishen-gigabyte uses Amazon Polly and Emma but you want to use the Amazon Polly Joanna voice for a specific Say instruction, you would use the voice attribute set to Polly.Joanna
audio_35|For example, if your Account's default T T S Language is English US en-US, but wish to use German for a specific call, set the language attribute to de-DE in your TwiML|For example, if your Account's default T T S Language is English US en-US, but wish to use German for a specific call, set the language attribute to de-DE in your TwiML
audio_36|Speech Synthesis Markup Language SSMLlink takes you to an external page uses X M L-based tags that allow you to fine-tune the synthesized speech generated by T T S|Speech Synthesis Markup Language SSMLlink takes you to an external page uses X M L-based tags that allow you to fine-tune the synthesized speech generated by T T S
audio_37|In addition, SSML support including tags and accepted values may differ between T T S providers andor may be limited to specific voices|In addition, SSML support including tags and accepted values may differ between T T S providers andor may be limited to specific voices
audio_38|Use of unsupported SSML tags with any T T S provider may result in error and Say instruction failure.|Use of unsupported SSML tags with any T T S provider may result in error and Say instruction failure.
audio_39|The SSML prah-suh-dee tag allows you to control the volume, rate, and pitch of synthesized speech.|The SSML prah-suh-dee tag allows you to control the volume, rate, and pitch of synthesized speech.
audio_40|Without say-as, a phone number would be pronounced as a number, e.g|Without say-as, a phone number would be pronounced as a number, e.g
audio_41|The TwiML example below uses say-as so that the synthesized speech reads the phone number as "four one five, five five five, one two one two."|The TwiML example below uses say-as so that the synthesized speech reads the phone number as "four one five, five five five, one two one two."
audio_42|You can generate TwiML with SSML within the Say verb using one of Twi-lee-oh's helper libraries for Clink takes you to an external page, Javalink takes you to an external page, Node J Slink takes you to an external page, P H Plink takes you to an external page, Pythonlink takes you to an external page, Rubylink takes you to an external page, or Golink takes you to an external page.|You can generate TwiML with SSML within the Say verb using one of Twi-lee-oh's helper libraries for Clink takes you to an external page, Javalink takes you to an external page, Node J Slink takes you to an external page, P H Plink takes you to an external page, Pythonlink takes you to an external page, Rubylink takes you to an external page, or Golink takes you to an external page.
audio_43|Note Use of unsupported SSML tags with any T T S provider may result in error and Say instruction failure|Note Use of unsupported SSML tags with any T T S provider may result in error and Say instruction failure
audio_44|A software development kit S D K is a collection of software development tools in one installable package|A software development kit S D K is a collection of software development tools in one installable package
audio_45|They are normally specific to a hardware platform and operating system combination|They are normally specific to a hardware platform and operating system combination
audio_46|Some S D Ks are required for developing a platform-specific app|Some S D Ks are required for developing a platform-specific app
audio_47|For example, the development of an Android app on the Java platform requires a Java Development Kit|For example, the development of an Android app on the Java platform requires a Java Development Kit
audio_48|For iOS applications apps the iOS S D K is required|For iOS applications apps the iOS S D K is required
audio_49|For Universal Windows Platform the .NET Framework S D K might be used|For Universal Windows Platform the .NET Framework S D K might be used
audio_50|There are also S D Ks that add additional features and can be installed in apps to provide analytics, data about application activity, and monetization options|There are also S D Ks that add additional features and can be installed in apps to provide analytics, data about application activity, and monetization options
audio_51|Some prominent creators of these types of S D Ks include Google, Smaato, InMobi, and Facebook.|Some prominent creators of these types of S D Ks include Google, Smaato, InMobi, and Facebook.
