clips/audio_1.wav|There is a really old blog entry from Twi-lee-oh about testing the T T S in browser|There is a really old blog entry from Twi-lee-oh about testing the T T S in browser
clips/audio_2.wav|Unfortunately it doesn't contain enough information to put a test together|Unfortunately it doesn't contain enough information to put a test together
clips/audio_3.wav|It also contains a number of dead links and mentions a Github project that I can't find.|It also contains a number of dead links and mentions a Github project that I can't find.
clips/audio_4.wav|I'd really like for users to have the ability to hear what their announcement will sound like prior to firing off the form and starting the phone calls.|I'd really like for users to have the ability to hear what their announcement will sound like prior to firing off the form and starting the phone calls.
clips/audio_5.wav|I use Lasso which fires off CU R L requests to the Twi-lee-oh REST A P I, but any kind of tutorials or hints would be appreciated.|I use Lasso which fires off CU R L requests to the Twi-lee-oh REST A P I, but any kind of tutorials or hints would be appreciated.
clips/audio_6.wav|If you set up a demo account on Twi-lee-oh and use Glitch online php tester  or a local environment you can create a workable example like I did|If you set up a demo account on Twi-lee-oh and use Glitch online php tester  or a local environment you can create a workable example like I did
clips/audio_7.wav|Search for TwiML in the website to get to the right section to set the right url of your server that TWilio will call upon request to read content xml|Search for TwiML in the website to get to the right section to set the right url of your server that TWilio will call upon request to read content xml
clips/audio_8.wav|You need to grab the Twi-lee-oh P H P S D K and include the ServicesTwi-lee-ohCapability.php from  in your server code.|You need to grab the Twi-lee-oh P H P S D K and include the ServicesTwi-lee-ohCapability.php from  in your server code.
clips/audio_9.wav|Required, but never shown|Required, but never shown
clips/audio_10.wav|Required, but never shown|Required, but never shown
clips/audio_11.wav|Text To Speech T T S, also known as speech sin-thuh-sis, is a process in which text is converted into a human-sounding voice|Text To Speech T T S, also known as speech sin-thuh-sis, is a process in which text is converted into a human-sounding voice
clips/audio_12.wav|Developers and business users alike use T T S to turn traditional human-to-human interactions into seamless, machine-to-human interactions, and make every interaction over voice a frictionless and first-class experience.|Developers and business users alike use T T S to turn traditional human-to-human interactions into seamless, machine-to-human interactions, and make every interaction over voice a frictionless and first-class experience.
clips/audio_13.wav|Instead of recording audio files with human voices to play back in a call, which has limited flexibility and is not a scalable option, T T S prompts can be dynamically, programmatically generated from raw text as a response to events in your application|Instead of recording audio files with human voices to play back in a call, which has limited flexibility and is not a scalable option, T T S prompts can be dynamically, programmatically generated from raw text as a response to events in your application
clips/audio_14.wav|T T S is available via the Say TwiML verb and Studio's SayPlay Widget.|T T S is available via the Say TwiML verb and Studio's SayPlay Widget.
clips/audio_15.wav|To start using T T S, complete the following steps|To start using T T S, complete the following steps
clips/audio_16.wav|Twi-lee-oh Studio is a visual, serverless tool that uses Widgets to represent various parts of Twi-lee-oh's platform features and functionality to design and build applications with little or no code.|Twi-lee-oh Studio is a visual, serverless tool that uses Widgets to represent various parts of Twi-lee-oh's platform features and functionality to design and build applications with little or no code.
clips/audio_17.wav|The SayPlay Widget allows you to add Text To Speech capabilities to your application with ease, including embedding SSML for supported voices.|The SayPlay Widget allows you to add Text To Speech capabilities to your application with ease, including embedding SSML for supported voices.
clips/audio_18.wav|To start using T T S with Studio, complete the following steps|To start using T T S with Studio, complete the following steps
clips/audio_19.wav|They can be used to get started and familiarize yourself with Text To Speech capabilities using Say, but may not have enough human-like qualities to build conversational applications and deliver superior user experiences over a voice call|They can be used to get started and familiarize yourself with Text To Speech capabilities using Say, but may not have enough human-like qualities to build conversational applications and deliver superior user experiences over a voice call
clips/audio_20.wav|The voices in this tier are available in a limited number of languages at no cost.|The voices in this tier are available in a limited number of languages at no cost.
clips/audio_21.wav|Standard voices offer standard T T S technology and produce natural-sounding synthesized speech with a variety of lifelike voices|Standard voices offer standard T T S technology and produce natural-sounding synthesized speech with a variety of lifelike voices
clips/audio_22.wav|The voices in this tier are provided by Amazon Amazon Polly and Google Standard, with support for SSML Speech Synthesis Markup Language, which allows developers to control many aspects of the synthesized speech.|The voices in this tier are provided by Amazon Amazon Polly and Google Standard, with support for SSML Speech Synthesis Markup Language, which allows developers to control many aspects of the synthesized speech.
clips/audio_23.wav|These voices are generated using the latest technology and innovation in synthesized speech, providing the most human-like, expressive and natural-sounding text to speech voices possible, with higher quality than Standard voices|These voices are generated using the latest technology and innovation in synthesized speech, providing the most human-like, expressive and natural-sounding text to speech voices possible, with higher quality than Standard voices
